"","Tenure","MonthlyCharge","Age","Population","Area.xSuburban","Area.xUrban","Marital.xMarried","Marital.xNever.Married","Marital.xSeparated","Marital.xWidowed","Gender.xMale","Gender.xNonbinary","Churn","Techie","Contract.xOne.year","Contract.xTwo.Year","Port_modem","Tablet","InternetService.xFiber.Optic","InternetService.xNone","Phone","Multiple","OnlineSecurity","OnlineBackup","DeviceProtection","TechSupport","StreamingTV","StreamingMovies","PaperlessBilling","PaymentMethod.xCredit.Card..automatic.","PaymentMethod.xElectronic.Check","PaymentMethod.xMailed.Check","Tenure_bin.x1.2.years","Tenure_bin.x2.3.years","Tenure_bin.x3.4.years","Tenure_bin.x4.5.years","Tenure_bin.x5.6.years"
"1",-1.04869377389291,-0.00394236166299573,0.720889191871754,-0.673371115250152,0,1,0,0,0,1,1,0,0,0,1,0,1,1,1,0,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0
"2",-1.26193805762254,1.63024437914921,-1.25989416023137,0.0477691397657114,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
"3",-0.709904305418945,-0.295210055804357,-0.148723011490591,-0.417216664558987,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0
"4",-0.659490986860166,-1.22645974405107,-0.245346589641963,0.284523199276588,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0
"5",-1.24248907260102,-0.528059299851802,1.44556602800704,0.110543262656216,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
"6",-1.04092309275508,0.288355463187839,1.44556602800704,0.550447132669256,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0
"7",-0.805103954010779,0.64023565053897,1.2523188717043,-0.500361198188794,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0
"8",-1.14441860851159,-1.34303110678202,-1.11495879300431,0.927576879791791,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
"9",-0.994797844893312,-1.28440268113354,-0.197034800566277,0.526196643693895,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"10",-1.1762670000087,-0.236175860605213,1.5905013952341,0.723110614173822,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0
"11",-0.577048368523458,0.054334738578841,-1.45314131653411,-0.637549678677977,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0
"12",-0.90776891525446,-0.527738479932177,0.141147722963524,1.63624545476318,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
"13",-0.813623448259924,-0.819355543403155,1.44556602800704,-0.637480391566618,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"14",-0.667357185375675,0.287513046013395,-1.16327058207999,-0.676004025481763,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0
"15",-0.925232807257973,-0.294790943013954,-1.11495879300431,-0.110274761242281,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
"16",-0.781156685538985,0.117037300095639,-0.680152691323136,-0.530986101409107,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0
"17",-0.70884521856533,0.520257570079816,0.479330246493325,2.79382522422418,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0
"18",-1.2185750670312,0.699950607117971,0.334394879266267,-0.173741755246367,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0
"19",-0.658631415473952,-0.468854832804484,0.382706668341953,-0.0203400906993725,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0
"20",-0.821388579057315,-0.528144249482838,-1.45314131653411,-0.455878872696847,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0
"21",-0.532172786347673,0.287674701807982,-0.728464480398822,-0.671223214798049,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0
"22",-1.21431456568234,-1.05090355377936,-1.11495879300431,0.324501862530254,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"23",-1.05410971065514,-1.10985279934747,-0.0520994333392197,-0.649605636054299,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
"24",-0.982581744605359,-0.528059299851802,0.720889191871754,-0.524057390273289,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0
"25",-1.08746094339107,-0.235495099225356,1.05907171540156,-0.0223494169287596,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0
"26",-1.14844977216667,-1.86688166919522,1.15569529355293,1.37267728315669,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27",-0.912168439682888,1.16491752240347,-0.293658378717649,-0.461976138496366,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0
"28",-1.25302303127688,-0.760151076355838,0.817512770023126,-0.284393272085369,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0
